Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
15:00,CRO1,Cibalia,Rudes,X2,35,31,35, , , ,68,32, , ,1 - 1
15:30,CRO1,Osijek,Inter Zapresic,1,76,17,7, , , ,50,50, , ,1 - 1
16:00,CRO1,Cibalia,Rudeš,1X,47,35,18,2.33,3.10,2.75,81,19,1.58,2.20,1 - 1
16:30,BG1,Dunav Ruse,Slavia Sofia,,0,0,0, , , ,0,0, , ,0 - 1
16:30,CRO1,Osijek,Inter Zaprešić,1,76,17,7,1.32,5.36,10.69,50,50,2.08,1.79,1 - 1
17:00,FR1,Paris Saint Germain,Angers,1,85,4,1,1.08,17.00,46.00,10,90,4.50,1.27,2 - 1
17:00,PR2,União Madeira,Benfica II,X2,28,28,44,2.20,3.20,3.05,59,41,2.08,1.79,0 - 4
17:00,PR2,Sporting CP II,Penafiel,2,17,22,61,4.00,3.10,1.90,50,50,1.77,2.10,3 - 4
17:00,PR2,Académica,Leixões,X1,40,27,33,1.65,3.60,4.50,54,46,1.76,2.11,2 - 1
17:30,BG1,Dunav 2010,Slavia Sofia,X2,30,39,30,2.90,3.13,2.62,85,15,1.57,2.35,0 - 1
18:00,EST1,Tammeka,Levadia Tallinn,2,6,9,81, , , ,16,84, , ,0 - 3
18:00,CHL,Besiktas,Bayern Munich,2X,22,20,58,6.60,4.80,1.55,31,69,2.86,1.53,1 - 3
18:00,ITA,Juventus,Atalanta,1X,49,20,31,1.47,4.40,9.80,21,79,1.77,2.26,2 - 0
18:00,EST1,Kuressaare,Tulevik Viljandi,2X,8,32,60, , , ,83,17, , ,3 - 1
18:00,PR2,Cova Piedade,Nacional,2X,31,20,49,2.95,3.05,2.30,21,79,1.67,2.07,1 - 1
18:00,FR1,PSG,Angers SCO,1,85,4,1,1.08,11.50,29.00,10,90,4.25,1.22,2 - 1
18:30,EST1,Kalju Nomme,Flora Tallinn,1,57,13,22, , , ,3,97, , ,2 - 0
18:45,HE1,Lausanne,Basel,X,40,21,40, , , ,24,76, , ,1 - 1
19:00,ITA,Juventus,Atalanta,1X,49,20,31,1.33,4.75,11.00,21,79,1.68,2.18,2 - 0
19:00,EST1,Tammeka,Levadia,2,6,9,81,10.00,5.50,1.18,16,84,2.60,1.43,0 - 3
19:00,EST1,Kuressaare,Tulevik,2X,16,32,53,2.50,3.40,2.58,77,23,2.09,1.72,3 - 1
19:00,CHL,Beşiktaş,Bayern München,2X,26,21,53,7.90,5.80,1.34,29,71,2.77,1.47,1 - 3
19:30,EST1,Nõmme Kalju,Flora,1,60,13,20,2.12,3.25,2.90,3,97,1.80,1.90,2 - 0
19:45,HE1,Lausanne Sport,Basel,X,40,21,40,8.21,5.12,1.40,24,76,2.53,1.53,1 - 1
20:45,EG1,Bradford City,Wigan,2X,31,20,49,4.60,3.70,1.92,21,79,1.81,2.18,0 - 1
20:45,CHL,Barcelona,Chelsea,1X,54,18,27,1.54,4.60,7.20,14,86,2.20,1.83,3 - 0
21:45,EG1,Bradford City,Wigan Athletic,2,22,16,60,4.85,3.72,1.80,14,86,1.75,2.04,0 - 1
21:45,CHL,Barcelona,Chelsea,1,60,16,22,1.49,4.67,7.50,14,86,2.16,1.78,3 - 0
